Araç No;_ehir içi L yakıt tüketimi/100 km;Kat edilen km;_ehir dı_ı L yakıt tük/100km;Kat edilen km;Araç sahiplerinin aylık ortalama yaptıkları km;;;;;;;;;;;;;;;;;;;
1;7,1;235;5;;1100;;;;;;;;;;;;;;;;;;;
2;6,3;380;4,5;;500;;;;;;;;;;;;;;;;;;;TL
3;6,7;700;4,6;;2200;;;;;;;;;;;;;;;;;;;
4;9,1;207;6,3;;3900;;;;;;;;;;;;;;;;;;;
5;5,1;420;4;;1650;;;;;;;;;;;;;;;;;;;
6;6,1;535;4,4;;780;;;;;;;;;;;;;;;;;;;
7;7;430;4,6;;1700;;;;;;;;;;;;;;;;;;;
8;7,7;119;5,1;;4100;;;;;;;;;;;;;;;;;;;
9;8,2;670;5,7;;1650;;;;;;;;;;;;;;;;;;;
10;7,9;770;5,5;;1900;;;;;;;;;;;;;;;;;;;
11;5,9;354;4,7;;3200;;;;;;;;;;;;;;;;;;;
12;5,5;590;4,4;;735;;;;;;;;;;;;;;;;;;;
13;6,6;810;5,7;;2550;;;;;;;;;;;;;;;;;;;
14;10,4;420;8,1;;2580;;;;;;;;;;;;;;;;;;;
15;11,6;240;7,2;;3500;;;;;;;;;;;;;;;;;;;
16;7,8;375;5,5;;1880;;;;;;;;;;;;;;;;;;;
17;6,3;435;4,1;;1280;;;;;;;;;;;;;;;;;;;
18;8,8;810;6,9;;3790;;;;;;;;;;;;;;;;;;;
19;9,2;647;7,8;;940;;;;;;;;;;;;;;;;;;;
20;9,9;190;7,5;;4500;;;;;;;;;;;;;;;;;;;
Her aracın 1000 km lik sürü_ü sonrasında kayıt edilen yakıt tüketimi de_erleridir.  Her araç için _ehiriçi+_ehirdı_ı seyahat mesafesi= 1000 km dir.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Benzin Fiyatı;41,69;;;;;;;;;;;;;;;;;;;;;;
